"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 03 21:34:17 IST 2025","Wed Dec 03 21:34:19 IST 2025","2186","output.test_file_generator","test_script_selenium_valida","","","","test_place_alert[test_data0]",""
"passed","Wed Dec 03 21:34:32 IST 2025","Wed Dec 03 21:34:47 IST 2025","15714","output.test_file_generator","test_script_selenium_valida","","","","test_place_alert[test_data1]",""
"passed","Wed Dec 03 21:35:02 IST 2025","Wed Dec 03 21:35:21 IST 2025","18841","output.test_file_generator","test_script_selenium_valida","","","","test_place_alert[test_data2]",""
